subject	set_name	measure	direct_contrast_nps	paired_condition_nps	contrast	difference_direct_minus_paired	same_sign
sub-32	main	signature_weighted_mean	-0.0031859587321862	-0.0004280704021278	regulation_mean_minus_passive	-0.0027578883300584003	True
sub-33	main	signature_weighted_mean	-0.0003905240893929	0.0037478519888032	regulation_mean_minus_passive	-0.0041383760781961	False
sub-01	main	signature_dot	-1.2273342609405518	-1.3298410177230835	regulation_mean_minus_passive	0.10250675678253174	True
sub-02	main	signature_dot	-1.6369578838348389	-1.0809797346591954	regulation_mean_minus_passive	-0.5559781491756435	True
sub-03	main	signature_dot	-0.3019023835659027	-0.4273560345172882	regulation_mean_minus_passive	0.1254536509513855	True
sub-04	main	signature_dot	-0.721988320350647	-0.7024711556732655	regulation_mean_minus_passive	-0.019517164677381516	True
sub-05	main	signature_dot	0.3579677045345306	0.0011032819747927	regulation_mean_minus_passive	0.3568644225597379	True
sub-06	main	signature_dot	56.14339828491211	-3.3468638360500336	regulation_mean_minus_passive	59.49026212096214	False
sub-07	main	signature_dot	-0.834778904914856	-0.4513723254203796	regulation_mean_minus_passive	-0.3834065794944764	True
sub-08	main	signature_dot	-0.5883781313896179	-0.4797723889350891	regulation_mean_minus_passive	-0.10860574245452881	True
sub-09	main	signature_dot	-0.5585483908653259	-0.7349367877468466	regulation_mean_minus_passive	0.17638839688152064	True
sub-10	main	signature_dot	-0.3532368540763855	-0.5669704675674438	regulation_mean_minus_passive	0.21373361349105835	True
sub-11	main	signature_dot	-0.3051100373268127	-0.0376081243157386	regulation_mean_minus_passive	-0.26750191301107407	True
sub-12	main	signature_dot	0.1740958988666534	0.128707230091095	regulation_mean_minus_passive	0.04538866877555839	True
sub-13	main	signature_dot	-0.0555498152971267	-0.1295639127492904	regulation_mean_minus_passive	0.07401409745216371	True
sub-14	main	signature_dot	-0.506706953048706	-0.5117636024951935	regulation_mean_minus_passive	0.005056649446487427	True
sub-15	main	signature_dot	-0.7682369351387024	-0.3424786329269409	regulation_mean_minus_passive	-0.4257583022117615	True
sub-16	main	signature_dot	-0.7038517594337463	-0.9681335687637334	regulation_mean_minus_passive	0.264281809329987	True
sub-17	main	signature_dot	-0.3744133114814758	-0.4082461595535276	regulation_mean_minus_passive	0.033832848072051835	True
sub-18	main	signature_dot	-0.6176655888557434	-0.2837487459182739	regulation_mean_minus_passive	-0.3339168429374695	True
sub-19	main	signature_dot	-1.3654922246932983	-1.22860711812973	regulation_mean_minus_passive	-0.13688510656356834	True
sub-20	main	signature_dot	-0.2774139642715454	-0.7748240809887648	regulation_mean_minus_passive	0.49741011671721935	True
sub-21	main	signature_dot	0.1332709789276123	0.1435443907976151	regulation_mean_minus_passive	-0.010273411870002802	True
sub-22	main	signature_dot	0.0996825397014617	-0.0393858551979062	regulation_mean_minus_passive	0.1390683948993679	False
sub-23	main	signature_dot	0.2389673292636871	0.3056240081787109	regulation_mean_minus_passive	-0.06665667891502378	True
sub-24	main	signature_dot	-0.4678005576133728	-0.1779074966907501	regulation_mean_minus_passive	-0.2898930609226227	True
sub-25	main	signature_dot	-1.0737041234970093	-1.1191700845956802	regulation_mean_minus_passive	0.04546596109867096	True
sub-26	main	signature_dot	-0.1177922338247299	-0.4470443110913038	regulation_mean_minus_passive	0.3292520772665739	True
sub-27	main	signature_dot	-0.4732956886291504	-0.4077745676040648	regulation_mean_minus_passive	-0.06552112102508562	True
sub-28	main	signature_dot	-1.1910862922668457	-1.341467797756195	regulation_mean_minus_passive	0.15038150548934937	True
sub-29	main	signature_dot	0.1802051365375518	0.185112863779068	regulation_mean_minus_passive	-0.0049077272415161965	True
